ID_UNICO,DIRECTION,MEDIATYPE,QUEUE_ID,QUEUE_NAME,DIVISION_ID,DIVISION_NAME,START_DATE,FINISH_DATE,OFFERED_NUMBER,ANSWERED_NUMBER,ANSWERED_TIME,HANDLE_NUMBER,HANDLE_TIME,ACW_NUMBER,ACW_TIME,ALERT_NUMBER,ALERT_TIME,TACD_NUMBER,TACD_TIME,CONNECTED_NUMBER,CONNECTED_TIME,TALK_NUMBER,TALK_TIME,WAIT_NUMBER,WAIT_TIME,ABANDON_NUMBER,ABANDON_TIME,AGENT_RESPONSE_TIME,AGENT_RESPONSE_NUMBER,HOLD_NUMBER,HOLD_TIME,AVERAGE_AGENT_RESPONSE_NUMBER,AVERAGE_AGENT_RESPONSE_TIME,AVERAGE_CUSTOMER_RESPONSE_NUMBER,AVERAGE_CUSTOMER_RESPONSE_TIME,FIRST_ENGAGEMENT_NUMBER,FIRST_ENGAGEMENT_TIME,FIRST_RESPONSE_NUMBER,FIRST_RESPONSE_TIME,OVER_SLA_NUMBER,ERROR_NUMBER,OUTBOUND_CONNECTED_NUMBER,SHORT_ABANDON_NUMBER,SHORT_ABANDON_TIME,NOT_RESPONDING_NUMBER,NOT_RESPONDING_TIME,BLIND_TRANSFERRED,TRANSFERRED_NUMBER,CONSULT_TRANSFERRED_NUMBER,IVR_NUMBER,IVR_TIME,ACTIVE_CALLBACK_NUMBER,ACTIVE_CALLBACK_TIME,FIRST_DIAL_NUMBER,FIRST_DIAL_TIME,OUTBOUND_NUMBER,OUTBOUND_ATTEMPTED_NUMBER,CONTACTING_NUMBER,CONTACTING_TIME,DIALING_NUMBER,DIALING_TIME,OUTBOUND_ABANDONED_NUMBER,OUTBOUND_ABANDONED_TIME,FECHA_CARGA
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T12:30:00.000-06:00_2026-07-01T13:00:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T12:30:00.000-06:00,2026-07-01T13:00:00.000-06:00,,,,10,276484,10,119345,,,,,3,11445,3,11438,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,10,10,10,3665,10,142036,,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T13:00:00.000-06:00_2026-07-01T13:30:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T13:00:00.000-06:00,2026-07-01T13:30:00.000-06:00,,,,15,446101,15,236787,,,,,5,46338,5,46292,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,15,15,15,2976,15,160046,,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T13:30:00.000-06:00_2026-07-01T14:00:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T13:30:00.000-06:00,2026-07-01T14:00:00.000-06:00,,,,7,133919,7,88795,,,,,1,2761,1,2732,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,7,7,1472,7,40920,,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T14:00:00.000-06:00_2026-07-01T14:30:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T14:00:00.000-06:00,2026-07-01T14:30:00.000-06:00,,,,16,724193,16,297896,,,,,4,222040,4,222037,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,16,17,16,4090,16,200170,,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T14:30:00.000-06:00_2026-07-01T15:00:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T14:30:00.000-06:00,2026-07-01T15:00:00.000-06:00,,,,6,189355,6,70501,,,,,39,996566,2,6584,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,85,6,1048,6,111222,6,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T15:00:00.000-06:00_2026-07-01T15:30:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T15:00:00.000-06:00,2026-07-01T15:30:00.000-06:00,,,,,,,,,,,,51,1488545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,5,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T15:30:00.000-06:00_2026-07-01T16:00:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T15:30:00.000-06:00,2026-07-01T16:00:00.000-06:00,,,,14,495436,14,215736,,,,,5,108276,3,16467,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,14,14,14,2406,14,260827,,,2026-07-02 10:30:55
outbound_voice_295114f1-4904-43d7-8c07-579abcde975f_HND Cobros EXCON M30 _7c271255-84d0-418f-b11c-d34854f14822_Cobros_2026-07-01T16:00:00.000-06:00_2026-07-01T16:30:00.000-06:00,outbound,voice,295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-07-01T16:00:00.000-06:00,2026-07-01T16:30:00.000-06:00,,,,23,749458,23,328822,,,,,8,68251,8,68174,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,23,23,23,4013,23,348449,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T08:30:00.000-06:00_2026-07-01T09:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T08:30:00.000-06:00,2026-07-01T09:00:00.000-06:00,,,,1,145059,1,18418,,,,,1,114798,1,114798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,165,1,11678,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T10:00:00.000-06:00_2026-07-01T10:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T10:00:00.000-06:00,2026-07-01T10:30:00.000-06:00,,,,3,92458,3,13167,,,,,2,35372,2,35363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,1747,4,59521,,,2026-07-02 10:30:55
