ID,QUEUE_NAME,DIVISION_ID,DIVISION_NAME,DATECREATED,CREATEDBY,CALL_SERVICELEVEL_DURATION,CHAT_SERVICELEVEL_DURATION,EMAIL_SERVICELEVEL_DURATION,MESAGGE_SERVICELEVEL_DURATION,FECHA_CARGA
73c2a7a1-67df-4b51-be86-5b871e49939e,HND Back Office General NAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2025-04-30T17:06:35.967Z,695d6dfc-11d3-48ad-a286-64290b8d94e0,20000,20000,86400000,20000,2026-06-30 10:30:28
b84ca391-f5c1-48f8-b45e-0aa6f2d09d8b,HND Banca Comercial Pyme ,b4167431-5d5b-4409-9df5-890acf39ead6,BT_Cash_Management,2025-02-13T21:49:45.319Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,40000,20000,86400000,20000,2026-06-30 10:30:28
6bf5a6da-8549-4bd9-9471-dbda7a564c0c,HND Banca Corporativa,b4167431-5d5b-4409-9df5-890acf39ead6,BT_Cash_Management,2025-02-13T21:49:13.993Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,40000,20000,86400000,20000,2026-06-30 10:30:28
43ca2ee7-e248-4b03-a35e-dc88945521a8,HND BASA CHEQUES,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2022-12-05T20:27:33.834Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
4219e725-409d-49d2-a7ff-f543af18351a,HND BO CANCELACION TD,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-03-17T18:55:08.047Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
aa297906-0bf5-4cac-9a60-f4f36da0cde5,HND BO Cheques,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-04-18T21:49:38.589Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
8379d545-79a3-4106-80fc-c27e8b30cb4b,HND BO Llamada de bienvenida,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-03-12T19:25:27.257Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
2841dca6-43fc-4b6d-bb50-58693030d2f6,HND CHAT_APERTURA_CUENTAS,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2024-10-29T21:21:54.134Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,300000,86400000,20000,2026-06-30 10:30:28
d21039d0-84d3-4661-8589-61c0942b2f9d,HND Cobros  MA Vivienda General,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-01-03T20:45:25.268Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
112442bf-65be-4b36-9c9e-b2bf452233f5,HND Cobros Agentes Nuevos PR,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-05-27T17:47:33.976Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
